央视,#genre#
娄底综合,http://10.0.0.1:7088/rtp/239.76.255.18:9000?124.232.149.47:15970
娄底公共,http://10.0.0.1:7088/rtp/239.76.255.19:9000?124.232.149.47:15970
怀化新闻,http://10.0.0.1:7088/rtp/239.76.255.12:9000?124.232.149.47:15970
永州新闻,http://10.0.0.1:7088/rtp/239.76.255.23:9000?124.232.149.47:15970
永州公共,http://10.0.0.1:7088/rtp/239.76.255.24:9000?124.232.149.47:15970
益阳新闻,http://10.0.0.1:7088/rtp/239.76.255.15:9000?124.232.149.47:15970
益阳公共,http://10.0.0.1:7088/rtp/239.76.255.16:9000?124.232.149.47:15970
益阳教育,http://10.0.0.1:7088/rtp/239.76.255.17:9000?124.232.149.47:15970
湘西新闻,http://10.0.0.1:7088/rtp/239.76.252.208:9000?124.232.149.47:15970
湘西公共,http://10.0.0.1:7088/rtp/239.76.252.209:9000?124.232.149.47:15970
湘西公共,http://10.0.0.1:7088/rtp/239.76.252.210:9000?124.232.149.47:15970
卫视,#genre#
湖南卫视,http://10.0.0.1:7088/rtp/239.76.252.115:9000?124.232.149.47:15970
湖南卫视超清,http://10.0.0.1:7088/rtp/239.76.253.100:9000?124.232.149.47:15970
江苏卫视,http://10.0.0.1:7088/rtp/239.76.253.181:9000?124.232.149.47:15970
浙江卫视,http://10.0.0.1:7088/rtp/239.76.253.182:9000?124.232.149.47:15970
安徽卫视,http://10.0.0.1:7088/rtp/239.76.252.196:9000?124.232.149.47:15970
北京卫视,http://10.0.0.1:7088/rtp/239.76.253.184:9000?124.232.149.47:15970
天津卫视,http://10.0.0.1:7088/rtp/239.76.253.185:9000?124.232.149.47:15970
东方卫视,http://10.0.0.1:7088/rtp/239.76.253.186:9000?124.232.149.47:15970
江西卫视,http://10.0.0.1:7088/rtp/239.76.252.225:9000?124.232.149.47:15970
深圳卫视,http://10.0.0.1:7088/rtp/239.76.253.188:9000?124.232.149.47:15970
辽宁卫视,http://10.0.0.1:7088/rtp/239.76.252.197:9000?124.232.149.47:15970
东南卫视,http://10.0.0.1:7088/rtp/239.76.252.190:9000?124.232.149.47:15970
海南卫视,http://10.0.0.1:7088/rtp/239.76.253.203:9000?124.232.149.47:15970
广东卫视,http://10.0.0.1:7088/rtp/239.76.252.189:9000?124.232.149.47:15970
湖北卫视,http://10.0.0.1:7088/rtp/239.76.253.193:9000?124.232.149.47:15970
山东卫视,http://10.0.0.1:7088/rtp/239.76.253.195:9000?124.232.149.47:15970
四川卫视,http://10.0.0.1:7088/rtp/239.76.253.91:9000?124.232.149.47:15970
重庆卫视,http://10.0.0.1:7088/rtp/239.76.253.92:9000?124.232.149.47:15970
黑龙江卫视,http://10.0.0.1:7088/rtp/239.76.253.200:9000?124.232.149.47:15970
贵州卫视,http://10.0.0.1:7088/rtp/239.76.252.198:9000?124.232.149.47:15970
河北卫视,http://10.0.0.1:7088/rtp/239.76.252.199:9000?124.232.149.47:15970
吉林卫视,http://10.0.0.1:7088/rtp/239.76.253.201:9000?124.232.149.47:15970
甘肃卫视,http://10.0.0.1:7088/rtp/239.76.253.94:9000?124.232.149.47:15970
广西卫视,http://10.0.0.1:7088/rtp/239.76.252.94:9000?124.232.149.47:15970
云南卫视,http://10.0.0.1:7088/rtp/239.76.252.98:9000?124.232.149.47:15970
河南卫视,http://10.0.0.1:7088/rtp/239.76.253.202:9000?124.232.149.47:15970
陕西卫视,http://10.0.0.1:7088/rtp/239.76.252.104:9000?124.232.149.47:15970
山西卫视,http://10.0.0.1:7088/rtp/239.76.252.105:9000?124.232.149.47:15970
内蒙古卫视,http://10.0.0.1:7088/rtp/239.76.252.106:9000?124.232.149.47:15970
宁夏卫视,http://10.0.0.1:7088/rtp/239.76.252.107:9000?124.232.149.47:15970
西藏卫视,http://10.0.0.1:7088/rtp/239.76.252.108:9000?124.232.149.47:15970
新疆卫视,http://10.0.0.1:7088/rtp/239.76.252.109:9000?124.232.149.47:15970
青海卫视,http://10.0.0.1:7088/rtp/239.76.252.113:9000?124.232.149.47:15970
南方卫视,http://10.0.0.1:7088/rtp/239.76.252.114:9000?124.232.149.47:15970
厦门卫视,http://10.0.0.1:7088/rtp/239.76.252.231:9000?124.232.149.47:15970
兵团卫视,http://10.0.0.1:7088/rtp/239.76.252.232:9000?124.232.149.47:15970
三沙卫视,http://10.0.0.1:7088/rtp/239.76.253.74:9000?124.232.149.47:15970
康巴卫视,http://10.0.0.1:7088/rtp/239.76.253.89:9000?124.232.149.47:15970
其他,#genre#
四海钓鱼,http://10.0.0.1:7088/rtp/239.76.253.4:9000?124.232.149.47:15970
快乐垂钓,http://10.0.0.1:7088/rtp/239.76.252.127:9000?124.232.149.47:15970
电子体育,http://10.0.0.1:7088/rtp/239.76.253.9:9000?124.232.149.47:15970
新动漫,http://10.0.0.1:7088/rtp/239.76.252.244:9000?124.232.149.47:15970
网络棋牌,http://10.0.0.1:7088/rtp/239.76.252.245:9000?124.232.149.47:15970
先锋乒羽,http://10.0.0.1:7088/rtp/239.76.253.51:9000?124.232.149.47:15970
CHC家庭影院,http://10.0.0.1:7088/rtp/239.76.252.241:9000?124.232.149.47:15970
CHC高清电影,http://10.0.0.1:7088/rtp/239.76.252.242:9000?124.232.149.47:15970
CHC动作电影,http://10.0.0.1:7088/rtp/239.76.252.243:9000?124.232.149.47:15970
游戏风云,http://10.0.0.1:7088/rtp/239.76.253.132:9000?124.232.149.47:15970
东方财经,http://10.0.0.1:7088/rtp/239.76.253.141:9000?124.232.149.47:15970
金色学堂,http://10.0.0.1:7088/rtp/239.76.253.139:9000?124.232.149.47:15970
动漫秀场,http://10.0.0.1:7088/rtp/239.76.253.131:9000?124.232.149.47:15970
全纪实,http://10.0.0.1:7088/rtp/239.76.253.137:9000?124.232.149.47:15970
欢笑剧场 4K,http://10.0.0.1:7088/rtp/239.76.253.130:9000?124.232.149.47:15970
生活时尚,http://10.0.0.1:7088/rtp/239.76.253.223:9000?124.232.149.47:15970
七彩戏剧,http://10.0.0.1:7088/rtp/239.76.253.140:9000?124.232.149.47:15970
极速汽车,http://10.0.0.1:7088/rtp/239.76.253.133:9000?124.232.149.47:15970
法治天地,http://10.0.0.1:7088/rtp/239.76.253.138:9000?124.232.149.47:15970
都市剧场,http://10.0.0.1:7088/rtp/239.76.253.215:9000?124.232.149.47:15970
炫动卡通,http://10.0.0.1:7088/rtp/239.76.252.133:9000?124.232.149.47:15970
嘉佳卡通,http://10.0.0.1:7088/rtp/239.76.252.230:9000?124.232.149.47:15970
卡酷动画,http://10.0.0.1:7088/rtp/239.76.252.111:9000?124.232.149.47:15970
优漫卡通,http://10.0.0.1:7088/rtp/239.76.252.112:9000?124.232.149.47:15970
摄像机,#genre#
前院,rtsp://admin:xg789852123@10.0.0.13:554/h265/ch1/main/av_stream
后院,rtsp://admin:xg789852123@10.0.0.12:554/h265/ch1/main/av_stream
4K,#genre#
欢笑剧场测试1,http://10.0.0.1:7088/rtp/239.76.254.118:9000?124.232.149.47:15970
欢笑剧场测试2,http://10.0.0.1:7088/rtp/239.76.254.119:9000?124.232.149.47:15970
欢笑剧场测试3,http://10.0.0.1:7088/rtp/239.76.254.120:9000?124.232.149.47:15970
